unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-314-b95f2c219a9c,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:18bc176076,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7045fc9499fc.STACK.18bc176076.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-b95f2c219a9c.pyc
cpython-314-5e23ec4841ac,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:18bf63e665,2,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7644964de9fc.STACK.18bf63e665.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-5e23ec4841ac.pyc
cpython-314-a90b87d3bc73,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:19b3a76c03,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.785ef201e9fc.STACK.19b3a76c03.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-a90b87d3bc73.pyc
cpython-314-f43403f36d44,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:19f4b372cd,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7ef4ec5959fc.STACK.19f4b372cd.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-f43403f36d44.pyc
cpython-314-5879d6216fe3,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:19f4bce37f,9,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.70cf2d9a49fc.STACK.19f4bce37f.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-5879d6216fe3.pyc
cpython-314-0cf9e155f83f,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:19f4ddd5cb,2,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.703c94bc39fc.STACK.19f4ddd5cb.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-0cf9e155f83f.pyc
cpython-314-cb9b8bf7bf2b,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:19f4e08fda,616,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7010a38439fc.STACK.19f4e08fda.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-cb9b8bf7bf2b.pyc
cpython-314-d27e3820a94b,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:c313ca348,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7c8eb33e49fc.STACK.c313ca348.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-d27e3820a94b.pyc
cpython-314-862ecb521c00,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:c31f1419b,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7a31a2ff79fc.STACK.c31f1419b.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-862ecb521c00.pyc
cpython-314-fb0d7ef5c673,cpython-314,crash,SIGABRT,honggfuzz-filename,SIGABRT:c720497b9,1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.79b5720ac9fc.STACK.c720497b9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-fb0d7ef5c673.pyc
