unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-312-67b760c3adb2,cpython-312,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_send_ex|gen_send|async_gen_asend_send|method_vectorcall_O|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.72011f1399fc.STACK.18312690be.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-67b760c3adb2.pyc
cpython-312-a557d123e56f,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyMem_Free|code_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|free_keys_object|dictkeys_decref|dict_dealloc|_Py_Dealloc|Py_DECREF",5,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.72230a5e49fc.STACK.18a3ae5de7.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a557d123e56f.pyc
cpython-312-de4fc824fdfe,cpython-312,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_IS_GC|visit_decref|_PyObject_VisitManagedDict|subtype_traverse|subtract_refs|deduce_unreachable|gc_collect_main|gc_collect_with_callback|PyGC_Collect|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain|main",1,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.736e36f4b9fc.STACK.18a3aea220.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-de4fc824fdfe.pyc
cpython-312-330afc90f5cd,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|_PyObject_VectorcallTstate|vectorcall_unbound|vectorcall_method|slot_bf_getbuffer|PyObject_GetBuffer|_PyManagedBuffer_FromObject|PyMemoryView_FromObjectAndFlags|PyMemoryView_FromObject",6,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.703d4f8d49fc.STACK.18ada16db5.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-330afc90f5cd.pyc
cpython-312-7ccee1bd926e,cpython-312,crash,SIGABRT,honggfuzz-filename,SIGABRT:193459d328,1,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.747c458e19fc.STACK.193459d328.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-7ccee1bd926e.pyc
cpython-312-e6b9bbdd13d8,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|set_dealloc|_Py_Dealloc|Py_DECREF|frame_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|tb_dealloc",19,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.71df7fc309fc.STACK.19bf3e07d4.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-e6b9bbdd13d8.pyc
cpython-312-191e2a349ee3,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc",1,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.72edae6779fc.STACK.19bfe3fc76.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-191e2a349ee3.pyc
cpython-312-6e3193687da1,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|long_dealloc|_Py_Dealloc|Py_DECREF|delitem_common|_PyDict_DelItem_KnownHash|PyDict_DelItem|remove_subclass|remove_all_subclasses|type_dealloc_common",4,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.7140d8bd79fc.STACK.19bff3e507.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-6e3193687da1.pyc
cpython-312-0a687ec86931,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python",518,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.6ffca34d39fc.STACK.19f0104456.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-0a687ec86931.pyc
cpython-312-a0778f67ae49,cpython-312,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_send_ex|gen_send|method_vectorcall_O|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",1,"data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.78adc880e9fc.STACK.19fd264c85.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a0778f67ae49.pyc
