unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-38-05df3261717a,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|unicode_fromformat_arg|PyUnicode_FromFormatV|_PyErr_FormatV|_PyErr_Format|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj",1,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.61f4fd2c20c8.STACK.1947361fa6.CODE.1.ADDR.28.INSTR.mov____0x8(%r14),%rbx.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-05df3261717a.pyc
cpython-38-066caaa07121,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:??|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj",112,data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.0.STACK.1b8dd3abfa.CODE.1.ADDR.0.INSTR.[NOT_MMAPED].pyc,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-066caaa07121.pyc
cpython-38-09cf932ac7c9,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_Py_XDECREF|tupledealloc|_Py_Dealloc|_Py_DECREF|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName",9,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.571307546b53.STACK.1a497a5e9f.CODE.128.ADDR.0.INSTR.mov____(%r15),%r14.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-09cf932ac7c9.pyc
cpython-38-0d8d30d8e4ff,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyNumber_Rshift|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file|PyRun_SimpleFileExFlags",2,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.595582d75ee8.STACK.ca591af5f.CODE.1.ADDR.8.INSTR.mov____0x8(%rbx),%r15.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0d8d30d8e4ff.pyc
cpython-38-0e6ea9f74fdd,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_GetAttr|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file|PyRun_SimpleFileExFlags",1,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.5a50d995be29.STACK.d25f9613b.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%r13.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0e6ea9f74fdd.pyc
cpython-38-172b46bc6f63,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|unicode_fromformat_arg|PyUnicode_FromFormatV|_PyErr_FormatV|_PyErr_Format|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj",1,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.5970f00b40c8.STACK.c8cb3ad72.CODE.1.ADDR.5974995de89f.INSTR.mov____0x8(%r14),%rbx.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-172b46bc6f63.pyc
cpython-38-19240d2dd11b,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_Py_XDECREF|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|PyEval_EvalFrameEx|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file|PyRun_SimpleFileExFlags",28,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.558ec1050c0e.STACK.1a167cb26a.CODE.1.ADDR.ffffffffffffffff.INSTR.mov____(%r12),%rbx.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-19240d2dd11b.pyc
cpython-38-1ced1d3135e2,cpython-38,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_GC_UNTRACK_impl|PyObject_GC_UnTrack|tupledealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|code_dealloc|_Py_Dealloc|_Py_DECREF|func_clear|func_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|free_keys_object|dictkeys_decref",1,"data/rq3/cpython-3.8/fuzz/crashes/SIGSEGV.PC.63ce5a1e03e9.STACK.d3ba3ff46.CODE.128.ADDR.0.INSTR.mov____0xa8(%rax),%r15.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1ced1d3135e2.pyc
cpython-38-1d2585684fc7,cpython-38,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|code_dealloc|_Py_Dealloc|_Py_DECREF|func_clear|func_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF",4,"data/rq3/cpython-3.8/fuzz/crashes/SIGABRT.PC.7ee8575409fc.STACK.1821128bd9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1d2585684fc7.pyc
cpython-38-1f2a015a29bd,cpython-38,crash,SIGABRT,honggfuzz-filename,SIGABRT:193d82d1ea,1,"data/rq3/cpython-3.8/fuzz/crashes/SIGABRT.PC.74bc386249fc.STACK.193d82d1ea.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1f2a015a29bd.pyc
