unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-39-02bda83cf25f,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyNumber_Or|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file",2,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.5802e0d372e8.STACK.191ca26bc7.CODE.1.ADDR.8.INSTR.mov____0x8(%rbx),%r15.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-02bda83cf25f.pyc
cpython-39-0326ee579318,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.5b49ef51142d.STACK.d795119f8.CODE.1.ADDR.18.INSTR.mov____0x18(%rcx),%r14d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-0326ee579318.pyc
cpython-39-05c7afdebcba,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|block_new|PyArena_New|PyRun_StringFlags|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7a9d9d36e9fc.STACK.df5292e33.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-05c7afdebcba.pyc
cpython-39-08779213b0c6,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyDict_DelItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.60b42f990e54.STACK.1999d87b22.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-08779213b0c6.pyc
cpython-39-09311b114b96,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_SetAttr|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file",3,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.57935e26e3e4.STACK.cd40b9546.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%r13.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-09311b114b96.pyc
cpython-39-0a48e1f41e2b,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:insertdict|PyDict_SetItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|builtin___build_class__|cfunction_vectorcall_FASTCALL_KEYWORDS|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.62cb438042ef.STACK.196822fc3f.CODE.1.ADDR.620100000000.INSTR.addq___$0x1,(%r15).pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-0a48e1f41e2b.pyc
cpython-39-0aaf079d8c74,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|tuplerepr|PyObject_Repr|PyFile_WriteObject|sys_displayhook|cfunction_vectorcall_O|_PyObject_VectorcallTstate|PyObject_CallOneArg|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode",3,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.605549ce0337.STACK.e832a5a1b.CODE.1.ADDR.89.INSTR.mov____0x8(%r15),%rbx.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-0aaf079d8c74.pyc
cpython-39-0eee7d454c31,cpython-39,crash,SIGSEGV,honggfuzz-filename,SIGSEGV:cbccce7cd,1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.5e8e84953ca6.STACK.cbccce7cd.CODE.2.ADDR.76c8999cc316.INSTR.addq___$0x1,(%rax).pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-0eee7d454c31.pyc
cpython-39-0f2df79d3ae3,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName",3,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.5754eab6049a.STACK.dbd4a7efd.CODE.1.ADDR.8.INSTR.mov____0x8(%r13),%r14.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-0f2df79d3ae3.pyc
cpython-39-110bb5c58bff,cpython-39,crash,SIGSEGV,honggfuzz-filename,SIGSEGV:1978f3db4f,3,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.565a1aebd4af.STACK.1978f3db4f.CODE.128.ADDR.0.INSTR.mov____0xa8(%r15),%r12.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-110bb5c58bff.pyc
cpython-39-112794a0322b,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyDict_LoadGlobal|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.57e1f7c01804.STACK.191f3ea194.CODE.1.ADDR.8.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-112794a0322b.pyc
cpython-39-17e1cea0fd00,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_Py_XDECREF|_PyEval_EvalCode|_PyFunction_Vectorcall|_PyObject_VectorcallTstate|PyObject_CallOneArg|call_unbound_noarg|slot_tp_hash|PyObject_Hash|PyDict_SetItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.578f254604e6.STACK.fd854ac02.CODE.1.ADDR.530364.INSTR.mov____(%r15),%r14.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-17e1cea0fd00.pyc
