unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-39-15dded2f4930,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyMem_Free|list_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|free_keys_object|dictkeys_decref|PyDict_Clear|dict_tp_clear|delete_garbage",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7b574f8e59fc.STACK.1938e2fdc1.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-15dded2f4930.pyc
cpython-39-d6b46c332b97,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|list_extend|_PyList_Extend|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault",3,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.73418086d9fc.STACK.1a0785c3ea.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-d6b46c332b97.pyc
cpython-39-39437486597c,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|PyUnicode_New|_PyUnicodeWriter_PrepareInternal|_PyUnicodeWriter_WriteASCIIString|PyUnicode_FromFormatV|PyUnicode_FromFormat|type_repr|object_str|PyObject_Str",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.719ca96339fc.STACK.1acfddf583.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-39437486597c.pyc
cpython-39-dd847a508a5a,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|PyFrame_BlockPop|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault",29,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.70b276c589fc.STACK.1b890f2ca2.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-dd847a508a5a.pyc
cpython-39-dd847a508a5a,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|PyFrame_BlockPop|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault",3,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7581ba4289fc.STACK.1b89a3dc6d.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-dd847a508a5a.pyc
cpython-39-88287aed8f89,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|PyUnicode_New|_PyUnicodeWriter_PrepareInternal|_PyUnicodeWriter_WriteASCIIString|PyUnicode_FromFormatV|_PyErr_FormatV|PyErr_Format|_PyObject_GenericGetAttrWithDict|PyObject_GenericGetAttr|PyObject_GetAttr",2,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.73dd013809fc.STACK.c71d34849.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-88287aed8f89.pyc
cpython-39-15dded2f4930,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyMem_Free|list_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|free_keys_object|dictkeys_decref|PyDict_Clear|dict_tp_clear|delete_garbage",2,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7698cf59e9fc.STACK.c720497b9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-15dded2f4930.pyc
cpython-39-05c7afdebcba,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|block_new|PyArena_New|PyRun_StringFlags|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7a9d9d36e9fc.STACK.df5292e33.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-05c7afdebcba.pyc
cpython-39-a2a855b1ac45,cpython-39,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|PyFrame_BlockSetup|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|function_code_fastcall|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.704cf97ef9fc.STACK.e1de1c354.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-a2a855b1ac45.pyc
cpython-39-a027ad26496c,cpython-39,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_GetMethod|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_EvalCode|_PyEval_EvalCodeWithName|PyEval_EvalCodeEx|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|pyrun_simple_file",1,"data/rq3/cpython-3.9/fuzz/crashes/SIGSEGV.PC.62be6328d1e3.STACK.18070948b6.CODE.128.ADDR.0.INSTR.mov____0x90(%rax),%r15.pyc",data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-a027ad26496c.pyc
